Case ID,Complete Timestamp,Complete Timestamp,Activity,Resource,Variant index,seriousness,customer,product,responsible_section,seriousness_2,service_level,service_type,support_section,workgroup
Case 6,2011/10/26 9:54:46,2011/10/26 9:54:46,Resolve ticket,Value 2,1,Value 1,Value 6,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 6,2011/12/10 16:20:56,2011/12/10 16:20:56,Closed,Value 5,1,Value 1,Value 6,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 7,2013/11/6 10:47:35,2013/11/6 10:47:35,Assign seriousness,Value 1,23,Value 1,Value 7,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 7,2013/11/6 10:48:53,2013/11/6 10:48:53,Assign seriousness,Value 1,23,Value 1,Value 7,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 7,2013/11/22 8:00:08,2013/11/22 8:00:08,Assign seriousness,Value 2,23,Value 1,Value 7,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 7,2013/11/25 8:18:07,2013/11/25 8:18:07,Take in charge ticket,Value 11,23,Value 1,Value 7,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 7,2013/11/25 8:57:19,2013/11/25 8:57:19,Resolve ticket,Value 11,23,Value 1,Value 7,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 7,2013/12/10 8:57:37,2013/12/10 8:57:37,Closed,Value 3,23,Value 1,Value 7,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 8,2012/7/5 8:30:32,2012/7/5 8:30:32,Assign seriousness,Value 1,1,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 8,2012/7/5 9:25:45,2012/7/5 9:25:45,Take in charge ticket,Value 6,1,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 8,2012/7/5 9:44:46,2012/7/5 9:44:46,Resolve ticket,Value 6,1,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 8,2012/9/2 8:40:27,2012/9/2 8:40:27,Closed,Value 5,1,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 9,2010/5/7 13:02:21,2010/5/7 13:02:21,Insert ticket,Value 12,7,Value 1,Value 9,Value 3,Value 1,Value 3,Value 4,Value 1,Value 1,Value 1
Case 9,2010/5/7 13:02:34,2010/5/7 13:02:34,Assign seriousness,Value 12,7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 4,Value 1,Value 1,Value 1
Case 9,2010/5/24 10:26:28,2010/5/24 10:26:28,Take in charge ticket,Value 6,7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 9,2010/5/25 15:35:44,2010/5/25 15:35:44,Resolve ticket,Value 12,7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 9,2010/6/9 15:35:56,2010/6/9 15:35:56,Closed,Value 5,7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 10,2010/2/10 8:50:20,2010/2/10 8:50:20,Assign seriousness,Value 2,1,Value 1,Value 10,Value 3,Value 2,Value 1,Value 3,Value 1,Value 2,Value 3
Case 10,2010/3/19 8:47:06,2010/3/19 8:47:06,Take in charge ticket,Value 2,1,Value 1,Value 10,Value 3,Value 2,Value 1,Value 3,Value 1,Value 2,Value 3
Case 10,2010/3/19 8:47:13,2010/3/19 8:47:13,Resolve ticket,Value 2,1,Value 1,Value 10,Value 3,Value 2,Value 1,Value 3,Value 1,Value 2,Value 3
Case 10,2010/4/3 7:47:38,2010/4/3 7:47:38,Closed,Value 5,1,Value 1,Value 10,Value 3,Value 2,Value 1,Value 3,Value 1,Value 2,Value 3
Case 11,2011/12/21 15:24:41,2011/12/21 15:24:41,Assign seriousness,Value 4,1,Value 1,Value 11,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 11,2011/12/21 15:25:34,2011/12/21 15:25:34,Take in charge ticket,Value 4,1,Value 1,Value 11,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 11,2011/12/22 9:55:43,2011/12/22 9:55:43,Resolve ticket,Value 4,1,Value 1,Value 11,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 11,2012/1/21 15:30:31,2012/1/21 15:30:31,Closed,Value 5,1,Value 1,Value 11,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 12,2013/3/18 10:47:34,2013/3/18 10:47:34,Assign seriousness,Value 4,1,Value 1,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 12,2013/3/18 15:03:49,2013/3/18 15:03:49,Take in charge ticket,Value 2,1,Value 1,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 12,2013/4/3 7:13:38,2013/4/3 7:13:38,Resolve ticket,Value 2,1,Value 1,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 12,2013/4/18 7:13:53,2013/4/18 7:13:53,Closed,Value 3,1,Value 1,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 13,2012/12/17 9:47:49,2012/12/17 9:47:49,Assign seriousness,Value 4,1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 13,2013/1/2 9:22:43,2013/1/2 9:22:43,Take in charge ticket,Value 4,1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 13,2013/1/4 10:29:36,2013/1/4 10:29:36,Resolve ticket,Value 4,1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 13,2013/1/19 10:29:51,2013/1/19 10:29:51,Closed,Value 3,1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 14,2011/7/5 13:47:08,2011/7/5 13:47:08,Assign seriousness,Value 13,1,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 14,2011/7/5 13:47:22,2011/7/5 13:47:22,Take in charge ticket,Value 13,1,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 14,2011/7/5 13:52:37,2011/7/5 13:52:37,Resolve ticket,Value 13,1,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 14,2011/8/5 13:50:21,2011/8/5 13:50:21,Closed,Value 5,1,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 15,2013/2/20 9:58:27,2013/2/20 9:58:27,Assign seriousness,Value 2,4,Value 1,Value 15,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 15,2013/3/8 8:25:42,2013/3/8 8:25:42,Assign seriousness,Value 2,4,Value 1,Value 15,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 15,2013/3/8 8:30:43,2013/3/8 8:30:43,Take in charge ticket,Value 9,4,Value 1,Value 15,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 15,2013/3/8 8:34:08,2013/3/8 8:34:08,Resolve ticket,Value 9,4,Value 1,Value 15,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 15,2013/3/23 8:34:25,2013/3/23 8:34:25,Closed,Value 3,4,Value 1,Value 15,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 16,2012/2/22 14:16:52,2012/2/22 14:16:52,Assign seriousness,Value 1,12,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 16,2012/2/22 16:14:07,2012/2/22 16:14:07,Take in charge ticket,Value 9,12,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 16,2012/2/22 16:23:57,2012/2/22 16:23:57,Take in charge ticket,Value 1,12,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 16,2012/2/23 9:47:38,2012/2/23 9:47:38,Resolve ticket,Value 9,12,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 16,2012/3/24 14:20:19,2012/3/24 14:20:19,Closed,Value 5,12,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 17,2011/10/14 7:10:47,2011/10/14 7:10:47,Assign seriousness,Value 1,1,Value 1,Value 17,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 17,2011/11/2 16:17:52,2011/11/2 16:17:52,Take in charge ticket,Value 2,1,Value 1,Value 17,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 17,2011/11/9 13:31:37,2011/11/9 13:31:37,Resolve ticket,Value 2,1,Value 1,Value 17,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 17,2011/11/24 15:57:55,2011/11/24 15:57:55,Closed,Value 5,1,Value 1,Value 17,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 18,2013/3/1 16:06:11,2013/3/1 16:06:11,Assign seriousness,Value 1,6,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 18,2013/3/18 14:04:03,2013/3/18 14:04:03,Take in charge ticket,Value 1,6,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 18,2013/3/19 10:22:40,2013/3/19 10:22:40,Resolve ticket,Value 1,6,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 18,2013/3/19 10:22:40,2013/3/19 10:22:40,Resolve ticket,Value 1,6,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 18,2013/4/3 9:23:01,2013/4/3 9:23:01,Closed,Value 3,6,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 19,2010/7/7 7:54:04,2010/7/7 7:54:04,Assign seriousness,Value 2,1,Value 1,Value 19,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 19,2010/7/9 10:10:52,2010/7/9 10:10:52,Take in charge ticket,Value 7,1,Value 1,Value 19,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 19,2010/7/9 10:11:18,2010/7/9 10:11:18,Resolve ticket,Value 7,1,Value 1,Value 19,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 19,2010/8/7 8:00:22,2010/8/7 8:00:22,Closed,Value 5,1,Value 1,Value 19,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 20,2013/5/9 7:10:37,2013/5/9 7:10:37,Assign seriousness,Value 14,2,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 20,2013/6/4 13:33:01,2013/6/4 13:33:01,Take in charge ticket,Value 9,2,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 20,2013/6/10 9:06:43,2013/6/10 9:06:43,Wait,Value 9,2,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 20,2013/6/19 9:12:02,2013/6/19 9:12:02,Resolve ticket,Value 9,2,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 20,2013/7/4 9:12:15,2013/7/4 9:12:15,Closed,Value 3,2,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 21,2011/1/14 15:15:21,2011/1/14 15:15:21,Assign seriousness,Value 8,1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 21,2011/1/27 8:06:37,2011/1/27 8:06:37,Take in charge ticket,Value 2,1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 21,2011/1/27 10:19:15,2011/1/27 10:19:15,Resolve ticket,Value 2,1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 21,2011/2/26 10:19:37,2011/2/26 10:19:37,Closed,Value 5,1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 22,2012/7/23 7:49:04,2012/7/23 7:49:04,Assign seriousness,Value 1,2,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 22,2012/7/23 7:49:14,2012/7/23 7:49:14,Take in charge ticket,Value 1,2,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 22,2012/7/23 8:51:59,2012/7/23 8:51:59,Wait,Value 1,2,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 22,2012/8/27 10:05:23,2012/8/27 10:05:23,Resolve ticket,Value 1,2,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 22,2012/9/11 10:05:33,2012/9/11 10:05:33,Closed,Value 3,2,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 23,2012/12/19 16:33:23,2012/12/19 16:33:23,Assign seriousness,Value 13,1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 23,2013/1/3 8:26:14,2013/1/3 8:26:14,Take in charge ticket,Value 2,1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 23,2013/1/22 15:50:53,2013/1/22 15:50:53,Resolve ticket,Value 1,1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 23,2013/2/6 15:51:06,2013/2/6 15:51:06,Closed,Value 3,1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 24,2010/4/27 9:49:56,2010/4/27 9:49:56,Assign seriousness,Value 2,1,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 24,2010/6/8 11:06:56,2010/6/8 11:06:56,Take in charge ticket,Value 2,1,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 24,2010/6/8 14:46:16,2010/6/8 14:46:16,Resolve ticket,Value 2,1,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 24,2010/6/23 14:46:28,2010/6/23 14:46:28,Closed,Value 5,1,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 25,2010/12/30 9:27:17,2010/12/30 9:27:17,Assign seriousness,Value 13,1,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 25,2010/12/30 13:14:04,2010/12/30 13:14:04,Take in charge ticket,Value 2,1,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 25,2010/12/30 15:16:35,2010/12/30 15:16:35,Resolve ticket,Value 2,1,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 25,2011/2/16 9:30:28,2011/2/16 9:30:28,Closed,Value 5,1,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 26,2011/3/31 7:28:47,2011/3/31 7:28:47,Assign seriousness,Value 2,3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 26,2011/3/31 7:31:59,2011/3/31 7:31:59,Take in charge ticket,Value 2,3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 26,2011/3/31 8:39:41,2011/3/31 8:39:41,Wait,Value 2,3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 26,2011/3/31 11:00:28,2011/3/31 11:00:28,Take in charge ticket,Value 2,3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 26,2011/3/31 11:00:41,2011/3/31 11:00:41,Resolve ticket,Value 2,3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 26,2011/5/5 9:50:46,2011/5/5 9:50:46,Closed,Value 5,3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 27,2011/11/24 14:02:16,2011/11/24 14:02:16,Assign seriousness,Value 1,1,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 27,2011/11/24 14:02:35,2011/11/24 14:02:35,Take in charge ticket,Value 1,1,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 27,2011/12/12 9:04:47,2011/12/12 9:04:47,Resolve ticket,Value 13,1,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 27,2011/12/27 9:05:04,2011/12/27 9:05:04,Closed,Value 5,1,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 28,2013/10/25 15:53:59,2013/10/25 15:53:59,Assign seriousness,Value 9,55,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 28,2013/10/25 15:54:05,2013/10/25 15:54:05,Take in charge ticket,Value 9,55,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 28,2013/10/25 15:54:12,2013/10/25 15:54:12,Create SW anomaly,Value 9,55,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 28,2013/10/25 15:54:23,2013/10/25 15:54:23,Require upgrade,Value 9,55,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 28,2013/11/14 15:55:48,2013/11/14 15:55:48,Require upgrade,Value 1,55,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 28,2013/12/23 8:08:05,2013/12/23 8:08:05,Resolve ticket,Value 1,55,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 29,2012/7/30 10:07:32,2012/7/30 10:07:32,Assign seriousness,Value 1,1,Value 1,Value 25,Value 5,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 29,2012/7/30 10:07:40,2012/7/30 10:07:40,Take in charge ticket,Value 1,1,Value 1,Value 25,Value 5,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 29,2012/7/30 12:29:40,2012/7/30 12:29:40,Resolve ticket,Value 1,1,Value 1,Value 25,Value 5,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 29,2012/9/14 10:10:38,2012/9/14 10:10:38,Closed,Value 5,1,Value 1,Value 25,Value 5,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 30,2011/1/21 9:47:20,2011/1/21 9:47:20,Assign seriousness,Value 2,1,Value 1,Value 26,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 30,2011/2/7 9:19:45,2011/2/7 9:19:45,Take in charge ticket,Value 2,1,Value 1,Value 26,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 30,2011/2/10 9:01:20,2011/2/10 9:01:20,Resolve ticket,Value 2,1,Value 1,Value 26,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 30,2011/2/25 9:01:35,2011/2/25 9:01:35,Closed,Value 5,1,Value 1,Value 26,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 31,2013/4/15 12:41:20,2013/4/15 12:41:20,Assign seriousness,Value 4,45,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 31,2013/4/18 7:06:11,2013/4/18 7:06:11,Take in charge ticket,Value 9,45,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 31,2013/4/18 7:18:02,2013/4/18 7:18:02,Create SW anomaly,Value 9,45,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 31,2013/4/18 7:18:23,2013/4/18 7:18:23,Require upgrade,Value 9,45,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 31,2013/5/15 13:30:39,2013/5/15 13:30:39,Resolve ticket,Value 9,45,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 31,2013/5/30 13:31:00,2013/5/30 13:31:00,Closed,Value 3,45,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 32,2011/4/27 7:38:44,2011/4/27 7:38:44,Assign seriousness,Value 8,1,Value 1,Value 28,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 32,2011/4/27 12:46:13,2011/4/27 12:46:13,Take in charge ticket,Value 8,1,Value 1,Value 28,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 32,2011/4/28 8:18:08,2011/4/28 8:18:08,Resolve ticket,Value 2,1,Value 1,Value 28,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 32,2011/6/4 7:40:30,2011/6/4 7:40:30,Closed,Value 5,1,Value 1,Value 28,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 33,2013/4/29 13:22:48,2013/4/29 13:22:48,Assign seriousness,Value 14,1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 33,2013/5/14 14:53:46,2013/5/14 14:53:46,Take in charge ticket,Value 14,1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 33,2013/5/15 10:19:05,2013/5/15 10:19:05,Resolve ticket,Value 14,1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 33,2013/5/30 10:19:20,2013/5/30 10:19:20,Closed,Value 3,1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 34,2013/6/11 13:56:40,2013/6/11 13:56:40,Assign seriousness,Value 14,14,Value 1,Value 29,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 34,2013/6/25 10:42:45,2013/6/25 10:42:45,Take in charge ticket,Value 14,14,Value 1,Value 29,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 34,2013/6/25 10:43:50,2013/6/25 10:43:50,Wait,Value 14,14,Value 1,Value 29,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 34,2013/6/26 13:27:04,2013/6/26 13:27:04,Wait,Value 9,14,Value 1,Value 29,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
