Case ID,Start Timestamp,Complete Timestamp,Activity,Resource,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 1,2012/2/16 12:43:00,2012/2/16 13:58:00,Final Inspection Q.C.,Quality Check 1,10,Cable Head,ID4493,D,9,0,0,
Case 1,2012/2/17 0:00:00,2012/2/17 1:00:00,Packing,Packing,10,Cable Head,ID4820,D,9,0,0,
Case 10,2012/1/17 7:01:00,2012/1/17 11:05:00,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,251,Spur Gear,ID3846,S,1,0,0,
Case 10,2012/1/17 11:00:00,2012/1/17 11:15:00,Turning Q.C.,Quality Check 1,251,Spur Gear,ID4618,D,0,0,0,
Case 10,2012/1/17 19:24:00,2012/1/17 20:01:00,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,251,Spur Gear,ID4132,S,0,0,0,
Case 10,2012/1/17 20:01:00,2012/1/17 23:43:00,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,251,Spur Gear,ID4132,D,17,0,0,
Case 10,2012/1/17 23:49:00,2012/1/18 6:32:00,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,251,Spur Gear,ID4794,D,37,0,0,
Case 10,2012/1/18 6:59:00,2012/1/18 7:24:00,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,251,Spur Gear,ID3846,D,4,0,0,
Case 10,2012/1/18 16:33:00,2012/1/18 17:55:00,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,251,Spur Gear,ID4132,S,1,0,0,
Case 10,2012/1/18 17:57:00,2012/1/18 20:04:00,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,251,Spur Gear,ID4132,D,3,0,0,
Case 10,2012/1/18 20:10:00,2012/1/19 6:29:00,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,251,Spur Gear,ID4794,D,40,0,0,
Case 10,2012/1/19 16:12:00,2012/1/19 18:09:00,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,251,Spur Gear,ID4132,S,1,0,0,
Case 10,2012/1/19 18:10:00,2012/1/19 20:08:00,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,251,Spur Gear,ID4132,D,8,0,0,
Case 10,2012/1/19 20:09:00,2012/1/20 5:10:00,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,251,Spur Gear,ID4794,D,40,0,0,
Case 10,2012/1/22 2:42:00,2012/1/22 6:34:00,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,251,Spur Gear,ID4641,D,17,0,0,
Case 10,2012/1/22 7:00:00,2012/1/22 7:13:00,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,251,Spur Gear,ID3846,D,3,0,0,
Case 10,2012/1/22 9:02:00,2012/1/22 17:47:00,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,251,Spur Gear,ID3846,D,79,0,0,
Case 10,2012/1/23 7:54:00,2012/1/23 10:26:00,Turning Q.C.,Quality Check 1,251,Spur Gear,ID4618,D,251,0,0,
Case 10,2012/1/25 9:31:00,2012/1/25 10:57:00,Laser Marking - Machine 7,Machine 7- Laser Marking,251,Spur Gear,ID4794,D,40,0,0,
Case 10,2012/1/25 11:00:00,2012/1/25 12:54:00,Laser Marking - Machine 7,Machine 7- Laser Marking,251,Spur Gear,ID4882,D,160,0,0,
Case 10,2012/1/25 13:22:00,2012/1/25 14:09:00,Laser Marking - Machine 7,Machine 7- Laser Marking,251,Spur Gear,ID4882,D,51,0,0,
Case 10,2012/1/27 10:30:00,2012/1/27 13:00:00,Flat Grinding - Machine 11,Machine 11 - Grinding,251,Spur Gear,ID0998,D,100,0,0,
Case 10,2012/1/29 8:09:00,2012/1/29 15:06:00,Flat Grinding - Machine 11,Machine 11 - Grinding,251,Spur Gear,ID0998,D,100,0,0,
Case 10,2012/1/30 15:19:00,2012/1/30 16:59:00,Flat Grinding - Machine 11,Machine 11 - Grinding,251,Spur Gear,ID0998,D,51,0,0,
Case 10,2012/2/2 12:38:00,2012/2/2 14:16:00,Final Inspection Q.C.,Quality Check 1,251,Spur Gear,ID4618,D,250,1,0,
Case 10,2012/2/3 0:00:00,2012/2/3 1:00:00,Packing,Packing,251,Spur Gear,ID4820,D,250,0,0,
Case 100,2012/2/20 17:09:00,2012/2/20 17:57:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,18,Ballnut,ID4219,D,7,0,0,
Case 100,2012/2/20 22:57:00,2012/2/21 2:57:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,18,Ballnut,ID4529,D,11,0,0,
Case 100,2012/2/21 6:45:00,2012/2/21 11:03:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,18,Ballnut,ID4219,S,1,0,0,
Case 100,2012/2/21 11:04:00,2012/2/21 12:08:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,18,Ballnut,ID4219,D,17,0,0,
Case 100,2012/2/22 14:48:00,2012/2/22 15:10:00,Turning & Milling Q.C.,Quality Check 1,18,Ballnut,ID4618,D,18,0,0,
Case 100,2012/3/11 11:05:00,2012/3/11 11:06:00,Laser Marking - Machine 7,Machine 7- Laser Marking,18,Ballnut,ID0998,D,18,0,0,
Case 100,2012/3/11 12:23:00,2012/3/11 12:45:00,Flat Grinding - Machine 11,Machine 11 - Grinding,18,Ballnut,ID0998,D,18,0,0,
Case 100,2012/3/11 12:46:00,2012/3/11 13:18:00,Lapping - Machine 1,Machine 1 - Lapping,18,Ballnut,ID4882,D,18,0,0,
Case 100,2012/3/13 10:34:00,2012/3/13 10:41:00,Round Grinding - Machine 3,Machine 3 - Round Grinding,18,Ballnut,ID4445,S,0,0,0,
Case 100,2012/3/13 10:41:00,2012/3/13 15:12:00,Round Grinding - Machine 3,Machine 3 - Round Grinding,18,Ballnut,ID4445,D,18,0,0,
Case 100,2012/3/16 11:30:00,2012/3/16 12:40:00,Grinding Rework - Machine 12,Machine 12 - Grinding,18,Ballnut,ID4872,D,0,0,0,
Case 100,2012/3/19 11:21:00,2012/3/19 14:06:00,Final Inspection Q.C.,Quality Check 1,18,Ballnut,ID4618,D,0,0,0,
Case 100,2012/3/21 0:00:00,2012/3/21 1:00:00,Packing,Packing,18,Ballnut,ID4820,D,18,0,0,
Case 100,2012/3/21 7:02:00,2012/3/21 7:03:00,Final Inspection Q.C.,Quality Check 1,18,Ballnut,ID4618,D,18,0,0,
Case 101,2012/3/13 18:47:00,2012/3/13 20:03:00,Setup - Machine 8,Machine 8 - Turning & Milling,27,Housing,ID4219,S,0,0,0,
Case 101,2012/3/13 20:38:00,2012/3/13 23:03:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,27,Housing,ID4219,S,0,0,0,
Case 101,2012/3/13 23:04:00,2012/3/13 23:49:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,27,Housing,ID4219,B,0,0,0,
Case 101,2012/3/13 23:50:00,2012/3/14 1:06:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,27,Housing,ID4219,D,7,0,0,
Case 101,2012/3/14 1:06:00,2012/3/14 6:28:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,27,Housing,ID4794,D,17,0,0,
Case 101,2012/3/14 7:02:00,2012/3/14 7:48:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,27,Housing,ID0997,D,3,0,0,
Case 101,2012/3/14 7:49:00,2012/3/14 11:10:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,27,Housing,ID0997,S,0,0,0,
Case 101,2012/3/14 11:11:00,2012/3/14 13:30:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,27,Housing,ID0997,D,27,0,0,
Case 101,2012/3/14 13:33:00,2012/3/14 14:48:00,Turning & Milling Q.C.,Quality Check 1,27,Housing,ID4618,D,27,0,0,
Case 101,2012/3/15 9:55:00,2012/3/15 10:55:00,Flat Grinding - Machine 11,Machine 11 - Grinding,27,Housing,ID0998,D,27,0,0,
Case 101,2012/3/23 11:00:00,2012/3/23 12:40:00,Lapping - Machine 1,Machine 1 - Lapping,27,Housing,ID0998,D,21,0,0,
Case 101,2012/3/24 22:15:00,2012/3/24 23:45:00,Round Grinding - Machine 12,Machine 12 - Grinding,27,Housing,ID4528,S,0,0,0,
Case 101,2012/3/24 23:45:00,2012/3/25 6:45:00,Round Grinding - Machine 12,Machine 12 - Grinding,27,Housing,ID4528,D,17,0,0,
Case 101,2012/3/25 6:50:00,2012/3/25 11:31:00,Final Inspection Q.C.,Quality Check 1,27,Housing,ID4618,D,17,0,0,
Case 101,2012/3/25 10:00:00,2012/3/25 11:00:00,Lapping - Machine 1,Machine 1 - Lapping,27,Housing,ID0998,D,6,0,0,
Case 101,2012/3/25 11:15:00,2012/3/25 11:29:00,Laser Marking - Machine 7,Machine 7- Laser Marking,27,Housing,ID0998,D,17,0,0,
Case 101,2012/3/26 0:00:00,2012/3/26 1:00:00,Packing,Packing,27,Housing,ID4820,D,17,0,0,
Case 102,2012/2/27 16:40:00,2012/2/27 21:09:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,24,Spur Gear,ID4219,S,0,0,0,
Case 102,2012/2/27 21:46:00,2012/2/28 1:23:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,24,Spur Gear,ID4219,S,0,0,0,
Case 102,2012/2/28 11:00:00,2012/2/28 13:26:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,24,Spur Gear,ID0997,S,0,0,0,
Case 102,2012/2/28 14:20:00,2012/2/28 16:12:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,24,Spur Gear,ID0997,S,0,0,0,
Case 102,2012/2/28 14:35:00,2012/2/28 15:25:00,Turning & Milling Q.C.,Quality Check 1,24,Spur Gear,ID4287,D,0,0,0,
Case 102,2012/2/28 16:12:00,2012/2/28 17:56:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,24,Spur Gear,ID0997,D,3,0,0,
Case 102,2012/2/28 21:28:00,2012/2/29 1:29:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,24,Spur Gear,ID4219,D,9,0,0,
Case 102,2012/2/29 1:30:00,2012/2/29 4:31:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,24,Spur Gear,ID4794,D,7,0,0,
Case 102,2012/2/29 7:32:00,2012/2/29 11:05:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,24,Spur Gear,ID0997,D,5,0,0,
Case 102,2012/2/29 11:05:00,2012/2/29 16:00:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,24,Spur Gear,ID0997,S,1,0,0,
Case 102,2012/2/29 15:00:00,2012/2/29 16:00:00,Turning & Milling Q.C.,Quality Check 1,24,Spur Gear,ID4287,D,24,0,0,
Case 102,2012/2/29 16:00:00,2012/2/29 17:20:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,24,Spur Gear,ID0997,S,0,0,0,
Case 102,2012/2/29 16:04:00,2012/2/29 16:36:00,Turning & Milling Q.C.,Quality Check 1,24,Spur Gear,ID4287,D,0,0,0,
Case 102,2012/2/29 17:19:00,2012/2/29 17:48:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,24,Spur Gear,ID0997,D,8,0,0,
Case 102,2012/2/29 22:27:00,2012/3/1 0:11:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,24,Spur Gear,ID4219,D,15,0,0,
Case 102,2012/3/1 9:30:00,2012/3/1 10:49:00,Turning & Milling Q.C.,Quality Check 1,24,Spur Gear,ID4287,D,0,1,0,
Case 102,2012/3/6 0:00:00,2012/3/6 1:15:00,Turning & Milling Q.C.,Quality Check 1,24,Spur Gear,ID4287,D,23,0,0,
Case 102,2012/3/8 13:32:00,2012/3/8 14:41:00,Laser Marking - Machine 7,Machine 7- Laser Marking,24,Spur Gear,ID0998,D,23,0,0,
Case 102,2012/3/9 0:00:00,2012/3/9 1:15:00,Lapping - Machine 1,Machine 1 - Lapping,24,Spur Gear,ID4882,D,0,0,0,
Case 102,2012/3/11 9:38:00,2012/3/11 11:04:00,Lapping - Machine 1,Machine 1 - Lapping,24,Spur Gear,ID0998,D,23,0,0,
Case 102,2012/3/11 19:25:00,2012/3/11 20:00:00,Round Grinding - Manual,Machine 27 - Grinding,24,Spur Gear,ID4528,S,0,0,0,
Case 102,2012/3/11 20:00:00,2012/3/11 23:40:00,Round Grinding - Manual,Machine 27 - Grinding,24,Spur Gear,ID4528,D,23,0,0,
Case 102,2012/3/12 7:03:00,2012/3/12 8:09:00,Round Grinding - Machine 3,Machine 3 - Round Grinding,24,Spur Gear,ID4445,S,0,0,0,
Case 102,2012/3/12 7:50:00,2012/3/12 8:09:00,Round Grinding - Q.C.,Quality Check 1,24,Spur Gear,ID4287,D,5,0,0,
Case 102,2012/3/12 8:02:00,2012/3/12 8:04:00,Round Grinding - Machine 3,Machine 3 - Round Grinding,24,Spur Gear,ID4445,S,0,0,0,
Case 102,2012/3/12 8:10:00,2012/3/12 10:58:00,Round Grinding - Machine 3,Machine 3 - Round Grinding,24,Spur Gear,ID4445,D,23,0,0,
Case 102,2012/3/12 10:00:00,2012/3/12 10:57:00,Round Grinding - Q.C.,Quality Check 1,24,Spur Gear,ID4287,D,18,0,0,
Case 102,2012/3/12 14:00:00,2012/3/12 17:00:00,Final Inspection Q.C.,Quality Check 1,24,Spur Gear,ID4287,D,0,0,0,
Case 102,2012/3/13 8:00:00,2012/3/13 8:06:00,Final Inspection Q.C.,Quality Check 1,24,Spur Gear,ID4287,D,23,0,0,
Case 102,2012/3/14 0:00:00,2012/3/14 1:00:00,Packing,Packing,24,Spur Gear,ID4820,D,23,0,0,
Case 103,2012/3/6 9:10:00,2012/3/6 10:18:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,52,Adjusting Nut,ID4219,B,0,0,0,
Case 103,2012/3/8 4:19:00,2012/3/8 6:51:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,52,Adjusting Nut,ID0997,S,0,0,0,
Case 103,2012/3/8 10:04:00,2012/3/8 16:38:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,52,Adjusting Nut,ID4219,S,0,0,0,
Case 103,2012/3/8 20:24:00,2012/3/9 4:35:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,52,Adjusting Nut,ID0997,S,0,0,0,
Case 103,2012/3/9 4:35:00,2012/3/9 7:27:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,52,Adjusting Nut,ID0997,D,14,0,0,
Case 103,2012/3/9 7:32:00,2012/3/9 10:38:00,Turning & Milling Q.C.,Quality Check 1,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,2012/3/9 7:32:00,2012/3/9 10:27:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,52,Adjusting Nut,ID4219,D,8,0,0,
Case 103,2012/3/11 7:42:00,2012/3/11 8:16:00,Turning & Milling Q.C.,Quality Check 1,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,2012/3/11 9:03:00,2012/3/11 10:37:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,52,Adjusting Nut,ID0997,D,0,0,0,
Case 103,2012/3/11 10:37:00,2012/3/11 11:48:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,52,Adjusting Nut,ID0997,S,0,0,0,
Case 103,2012/3/11 11:49:00,2012/3/11 16:09:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,52,Adjusting Nut,ID0997,D,25,0,0,
Case 103,2012/3/11 16:35:00,2012/3/11 18:35:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,52,Adjusting Nut,ID4219,D,5,0,0,
Case 103,2012/3/12 8:27:00,2012/3/12 8:28:00,Turning & Milling Q.C.,Quality Check 1,52,Adjusting Nut,ID4618,D,50,2,0,
Case 103,2012/3/13 9:54:00,2012/3/13 10:46:00,Laser Marking - Machine 7,Machine 7- Laser Marking,52,Adjusting Nut,ID4355,D,50,0,0,
Case 103,2012/3/13 13:27:00,2012/3/13 14:04:00,Flat Grinding - Machine 11,Machine 11 - Grinding,52,Adjusting Nut,ID0998,D,50,0,0,
Case 103,2012/3/13 14:07:00,2012/3/13 17:57:00,Final Inspection Q.C.,Quality Check 1,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,2012/3/14 6:58:00,2012/3/14 10:35:00,Final Inspection Q.C.,Quality Check 1,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,2012/3/14 12:03:00,2012/3/14 12:04:00,Final Inspection Q.C.,Quality Check 1,52,Adjusting Nut,ID4618,D,50,0,0,
Case 103,2012/3/15 0:00:00,2012/3/15 1:00:00,Packing,Packing,52,Adjusting Nut,ID4820,D,50,0,0,
Case 104,2012/3/19 20:43:00,2012/3/20 2:26:00,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,33,Cable Head,ID4529,S,1,0,0,
Case 104,2012/3/20 2:27:00,2012/3/20 6:41:00,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,33,Cable Head,ID4529,D,19,0,0,
Case 104,2012/3/20 7:00:00,2012/3/20 11:07:00,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,33,Cable Head,ID4429,D,13,0,0,
Case 104,2012/3/20 9:54:00,2012/3/20 11:54:00,Turning & Milling Q.C.,Quality Check 1,33,Cable Head,ID4493,D,0,0,0,
Case 104,2012/3/21 6:55:00,2012/3/21 7:41:00,Turning & Milling Q.C.,Quality Check 1,33,Cable Head,ID4493,D,33,0,0,
Case 104,2012/3/21 9:21:00,2012/3/21 9:49:00,Laser Marking - Machine 7,Machine 7- Laser Marking,33,Cable Head,ID4718,D,33,0,0,
Case 105,2012/3/20 23:18:00,2012/3/21 6:34:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,15,Bearing,ID4167,S,0,0,0,
Case 105,2012/3/21 7:18:00,2012/3/21 10:31:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,15,Bearing,ID4932,D,15,0,0,
Case 106,2012/3/15 10:14:00,2012/3/15 15:44:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,39,Ballnut,ID0997,S,0,0,0,
Case 106,2012/3/15 16:55:00,2012/3/15 20:38:00,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,39,Ballnut,ID4219,D,39,0,0,
Case 106,2012/3/19 7:00:00,2012/3/19 7:28:00,Turning & Milling Q.C.,Quality Check 1,39,Ballnut,ID4618,D,39,0,0,
Case 106,2012/3/19 9:38:00,2012/3/19 10:51:00,Laser Marking - Machine 7,Machine 7- Laser Marking,39,Ballnut,ID0998,D,39,0,0,
Case 106,2012/3/19 14:42:00,2012/3/19 15:20:00,Flat Grinding - Machine 11,Machine 11 - Grinding,39,Ballnut,ID4882,D,39,0,0,
Case 106,2012/3/21 15:27:00,2012/3/21 17:57:00,Final Inspection Q.C.,Quality Check 1,39,Ballnut,ID4618,D,0,0,0,
Case 106,2012/3/22 0:00:00,2012/3/22 1:00:00,Packing,Packing,39,Ballnut,ID4820,D,39,0,0,
Case 106,2012/3/22 11:50:00,2012/3/22 13:05:00,Final Inspection Q.C.,Quality Check 1,39,Ballnut,ID4618,D,39,0,0,
Case 107,2012/3/30 6:36:00,2012/3/30 11:47:00,Turning & Milling - Machine 10,Machine 10 - Grinding,20,Cable Head,ID4132,S,1,0,0,
Case 108,2012/2/27 1:18:00,2012/2/27 6:55:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,15,Bushing,ID4794,S,1,0,0,
Case 108,2012/2/27 6:59:00,2012/2/27 9:13:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,15,Bushing,ID4529,S,1,0,0,
Case 108,2012/2/27 7:00:00,2012/2/27 8:40:00,Turning & Milling Q.C.,Quality Check 1,15,Bushing,ID4287,D,0,0,0,
Case 108,2012/2/27 9:13:00,2012/2/27 12:38:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,15,Bushing,ID4529,D,13,0,0,
Case 108,2012/2/28 13:20:00,2012/2/28 14:24:00,Turning & Milling Q.C.,Quality Check 1,15,Bushing,ID4287,D,14,1,0,
Case 108,2012/2/28 17:52:00,2012/2/28 19:07:00,Laser Marking - Machine 7,Machine 7- Laser Marking,15,Bushing,ID0998,D,14,0,0,
Case 108,2012/2/29 0:00:00,2012/2/29 1:15:00,Flat Grinding - Machine 11,Machine 11 - Grinding,15,Bushing,ID4528,D,0,0,0,
Case 108,2012/2/29 22:05:00,2012/2/29 23:04:00,Flat Grinding - Machine 11,Machine 11 - Grinding,15,Bushing,ID0420,D,14,0,0,
Case 108,2012/3/1 2:35:00,2012/3/1 3:50:00,Lapping - Machine 1,Machine 1 - Lapping,15,Bushing,ID0420,D,0,0,0,
Case 108,2012/3/1 2:36:00,2012/3/1 3:28:00,Lapping - Machine 1,Machine 1 - Lapping,15,Bushing,ID0420,D,14,0,0,
Case 108,2012/3/7 8:30:00,2012/3/7 11:16:00,Round Grinding - Machine 3,Machine 3 - Round Grinding,15,Bushing,ID4385,S,0,0,0,
Case 108,2012/3/7 11:18:00,2012/3/7 14:10:00,Round Grinding - Machine 3,Machine 3 - Round Grinding,15,Bushing,ID4385,D,5,0,0,
Case 108,2012/3/7 14:12:00,2012/3/7 15:56:00,Round Grinding - Machine 3,Machine 3 - Round Grinding,15,Bushing,ID0420,D,4,0,0,
Case 108,2012/3/7 15:57:00,2012/3/7 19:30:00,Round Grinding - Machine 3,Machine 3 - Round Grinding,15,Bushing,ID4872,D,5,0,0,
Case 108,2012/3/8 11:00:00,2012/3/8 15:52:00,Final Inspection Q.C.,Quality Check 1,15,Bushing,ID4287,D,0,0,0,
Case 108,2012/3/9 0:00:00,2012/3/9 1:00:00,Packing,Packing,15,Bushing,ID4820,D,14,0,0,
Case 108,2012/3/9 9:00:00,2012/3/9 9:27:00,Final Inspection Q.C.,Quality Check 1,15,Bushing,ID4287,D,14,0,0,
Case 109,2012/3/4 11:14:00,2012/3/4 18:01:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,50,Electrical Contact,ID4932,S,0,0,0,
Case 109,2012/3/4 17:52:00,2012/3/4 23:53:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,50,Electrical Contact,ID4167,S,2,0,0,
Case 109,2012/3/5 0:00:00,2012/3/5 1:15:00,Turning & Milling Q.C.,Quality Check 1,50,Electrical Contact,ID4618,D,49,0,0,
Case 109,2012/3/5 0:03:00,2012/3/5 1:08:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,50,Electrical Contact,ID4529,S,1,0,0,
Case 109,2012/3/5 1:09:00,2012/3/5 6:43:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,50,Electrical Contact,ID4529,D,31,0,0,
Case 109,2012/3/5 6:49:00,2012/3/5 9:41:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,50,Electrical Contact,ID4932,D,16,0,0,
Case 109,2012/3/5 7:00:00,2012/3/5 8:21:00,Turning & Milling Q.C.,Quality Check 1,50,Electrical Contact,ID4618,D,0,0,0,
Case 109,2012/3/5 10:18:00,2012/3/5 10:23:00,Turning & Milling Q.C.,Quality Check 1,50,Electrical Contact,ID4618,D,0,1,0,
Case 109,2012/3/15 11:05:00,2012/3/15 11:26:00,Laser Marking - Machine 7,Machine 7- Laser Marking,50,Electrical Contact,ID0998,D,49,0,0,
Case 109,2012/3/21 5:03:00,2012/3/21 6:22:00,Round Grinding - Machine 2,Machine 2 - Round Grinding,50,Electrical Contact,ID4355,S,1,0,0,
Case 109,2012/3/21 6:23:00,2012/3/21 6:49:00,Round Grinding - Machine 2,Machine 2 - Round Grinding,50,Electrical Contact,ID4355,D,3,0,0,
Case 109,2012/3/21 7:34:00,2012/3/21 12:08:00,Round Grinding - Machine 2,Machine 2 - Round Grinding,50,Electrical Contact,ID4385,D,45,0,0,
Case 109,2012/3/23 0:40:00,2012/3/23 1:33:00,Round Grinding - Machine 2,Machine 2 - Round Grinding,50,Electrical Contact,ID4445,S,0,0,0,
Case 109,2012/3/23 1:34:00,2012/3/23 4:08:00,Round Grinding - Machine 2,Machine 2 - Round Grinding,50,Electrical Contact,ID4445,D,49,0,0,
Case 109,2012/3/23 7:25:00,2012/3/23 10:50:00,Final Inspection Q.C.,Quality Check 1,50,Electrical Contact,ID4618,D,45,4,0,
Case 109,2012/3/25 0:00:00,2012/3/25 1:00:00,Packing,Packing,50,Electrical Contact,ID4491,D,45,0,0,
Case 11,2012/1/15 18:04:00,2012/1/15 23:40:00,Turning & Milling - Machine 10,Machine 10 - Grinding,100,Spur Gear,ID4132,S,0,0,0,
Case 11,2012/1/16 6:59:00,2012/1/16 9:49:00,Turning & Milling - Machine 10,Machine 10 - Grinding,100,Spur Gear,ID4641,D,1,0,0,
Case 11,2012/1/16 9:00:00,2012/1/16 9:54:00,Turning & Milling Q.C.,Quality Check 1,100,Spur Gear,ID4287,D,0,0,0,
Case 11,2012/1/16 9:50:00,2012/1/16 16:22:00,Turning & Milling - Machine 10,Machine 10 - Grinding,100,Spur Gear,ID4641,D,17,0,0,
Case 11,2012/1/16 18:08:00,2012/1/16 23:38:00,Turning & Milling - Machine 10,Machine 10 - Grinding,100,Spur Gear,ID4132,D,18,0,0,
Case 11,2012/1/16 23:39:00,2012/1/17 6:37:00,Turning & Milling - Machine 10,Machine 10 - Grinding,100,Spur Gear,ID4932,D,19,0,0,
