Case ID,Complete Timestamp,Complete Timestamp,Activity,Resource,seriousness,customer,product,responsible_section,seriousness_2,service_level,service_type,support_section,workgroup
Case 10,2010/3/19 8:47:00,2010/3/19 8:47:00,Take in charge ticket,Value 2,Value 1,Value 10,Value 3,Value 2,Value 1,Value 3,Value 1,Value 2,Value 3
Case 10,2010/3/19 8:47:00,2010/3/19 8:47:00,Resolve ticket,Value 2,Value 1,Value 10,Value 3,Value 2,Value 1,Value 3,Value 1,Value 2,Value 3
Case 10,2010/4/3 7:47:00,2010/4/3 7:47:00,Closed,Value 5,Value 1,Value 10,Value 3,Value 2,Value 1,Value 3,Value 1,Value 2,Value 3
Case 11,2011/12/21 15:24:00,2011/12/21 15:24:00,Assign seriousness,Value 4,Value 1,Value 11,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 11,2011/12/21 15:25:00,2011/12/21 15:25:00,Take in charge ticket,Value 4,Value 1,Value 11,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 11,2011/12/22 9:55:00,2011/12/22 9:55:00,Resolve ticket,Value 4,Value 1,Value 11,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 11,2012/1/21 15:30:00,2012/1/21 15:30:00,Closed,Value 5,Value 1,Value 11,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 12,2013/3/18 10:47:00,2013/3/18 10:47:00,Assign seriousness,Value 4,Value 1,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 12,2013/3/18 15:03:00,2013/3/18 15:03:00,Take in charge ticket,Value 2,Value 1,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 12,2013/4/3 7:13:00,2013/4/3 7:13:00,Resolve ticket,Value 2,Value 1,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 12,2013/4/18 7:13:00,2013/4/18 7:13:00,Closed,Value 3,Value 1,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 13,2012/12/17 9:47:00,2012/12/17 9:47:00,Assign seriousness,Value 4,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 13,2013/1/2 9:22:00,2013/1/2 9:22:00,Take in charge ticket,Value 4,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 13,2013/1/4 10:29:00,2013/1/4 10:29:00,Resolve ticket,Value 4,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 13,2013/1/19 10:29:00,2013/1/19 10:29:00,Closed,Value 3,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 14,2011/7/5 13:47:00,2011/7/5 13:47:00,Assign seriousness,Value 13,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 14,2011/7/5 13:47:00,2011/7/5 13:47:00,Take in charge ticket,Value 13,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 14,2011/7/5 13:52:00,2011/7/5 13:52:00,Resolve ticket,Value 13,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 14,2011/8/5 13:50:00,2011/8/5 13:50:00,Closed,Value 5,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 15,2013/2/20 9:58:00,2013/2/20 9:58:00,Assign seriousness,Value 2,Value 1,Value 15,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 15,2013/3/8 8:25:00,2013/3/8 8:25:00,Assign seriousness,Value 2,Value 1,Value 15,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 15,2013/3/8 8:30:00,2013/3/8 8:30:00,Take in charge ticket,Value 9,Value 1,Value 15,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 15,2013/3/8 8:34:00,2013/3/8 8:34:00,Resolve ticket,Value 9,Value 1,Value 15,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 15,2013/3/23 8:34:00,2013/3/23 8:34:00,Closed,Value 3,Value 1,Value 15,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 16,2012/2/22 14:16:00,2012/2/22 14:16:00,Assign seriousness,Value 1,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 16,2012/2/22 16:14:00,2012/2/22 16:14:00,Take in charge ticket,Value 9,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 16,2012/2/22 16:23:00,2012/2/22 16:23:00,Take in charge ticket,Value 1,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 16,2012/2/23 9:47:00,2012/2/23 9:47:00,Resolve ticket,Value 9,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 16,2012/3/24 14:20:00,2012/3/24 14:20:00,Closed,Value 5,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 17,2011/10/14 7:10:00,2011/10/14 7:10:00,Assign seriousness,Value 1,Value 1,Value 17,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 17,2011/11/2 16:17:00,2011/11/2 16:17:00,Take in charge ticket,Value 2,Value 1,Value 17,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 17,2011/11/9 13:31:00,2011/11/9 13:31:00,Resolve ticket,Value 2,Value 1,Value 17,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 17,2011/11/24 15:57:00,2011/11/24 15:57:00,Closed,Value 5,Value 1,Value 17,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 18,2013/3/1 16:06:00,2013/3/1 16:06:00,Assign seriousness,Value 1,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 18,2013/3/18 14:04:00,2013/3/18 14:04:00,Take in charge ticket,Value 1,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 18,2013/3/19 10:22:00,2013/3/19 10:22:00,Resolve ticket,Value 1,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 18,2013/3/19 10:22:00,2013/3/19 10:22:00,Resolve ticket,Value 1,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 18,2013/4/3 9:23:00,2013/4/3 9:23:00,Closed,Value 3,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 19,2010/7/7 7:54:00,2010/7/7 7:54:00,Assign seriousness,Value 2,Value 1,Value 19,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 19,2010/7/9 10:10:00,2010/7/9 10:10:00,Take in charge ticket,Value 7,Value 1,Value 19,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 19,2010/7/9 10:11:00,2010/7/9 10:11:00,Resolve ticket,Value 7,Value 1,Value 19,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 19,2010/8/7 8:00:00,2010/8/7 8:00:00,Closed,Value 5,Value 1,Value 19,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 20,2013/5/9 7:10:00,2013/5/9 7:10:00,Assign seriousness,Value 14,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 20,2013/6/4 13:33:00,2013/6/4 13:33:00,Take in charge ticket,Value 9,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 20,2013/6/10 9:06:00,2013/6/10 9:06:00,Wait,Value 9,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 20,2013/6/19 9:12:00,2013/6/19 9:12:00,Resolve ticket,Value 9,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 20,2013/7/4 9:12:00,2013/7/4 9:12:00,Closed,Value 3,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 21,2011/1/14 15:15:00,2011/1/14 15:15:00,Assign seriousness,Value 8,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 21,2011/1/27 8:06:00,2011/1/27 8:06:00,Take in charge ticket,Value 2,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 21,2011/1/27 10:19:00,2011/1/27 10:19:00,Resolve ticket,Value 2,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 21,2011/2/26 10:19:00,2011/2/26 10:19:00,Closed,Value 5,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 22,2012/7/23 7:49:00,2012/7/23 7:49:00,Assign seriousness,Value 1,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 22,2012/7/23 7:49:00,2012/7/23 7:49:00,Take in charge ticket,Value 1,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 22,2012/7/23 8:51:00,2012/7/23 8:51:00,Wait,Value 1,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 22,2012/8/27 10:05:00,2012/8/27 10:05:00,Resolve ticket,Value 1,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 22,2012/9/11 10:05:00,2012/9/11 10:05:00,Closed,Value 3,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 23,2012/12/19 16:33:00,2012/12/19 16:33:00,Assign seriousness,Value 13,Value 1,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 23,2013/1/3 8:26:00,2013/1/3 8:26:00,Take in charge ticket,Value 2,Value 1,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 23,2013/1/22 15:50:00,2013/1/22 15:50:00,Resolve ticket,Value 1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 23,2013/2/6 15:51:00,2013/2/6 15:51:00,Closed,Value 3,Value 1,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 24,2010/4/27 9:49:00,2010/4/27 9:49:00,Assign seriousness,Value 2,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 24,2010/6/8 11:06:00,2010/6/8 11:06:00,Take in charge ticket,Value 2,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 24,2010/6/8 14:46:00,2010/6/8 14:46:00,Resolve ticket,Value 2,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 24,2010/6/23 14:46:00,2010/6/23 14:46:00,Closed,Value 5,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 25,2010/12/30 9:27:00,2010/12/30 9:27:00,Assign seriousness,Value 13,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 25,2010/12/30 13:14:00,2010/12/30 13:14:00,Take in charge ticket,Value 2,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 25,2010/12/30 15:16:00,2010/12/30 15:16:00,Resolve ticket,Value 2,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 25,2011/2/16 9:30:00,2011/2/16 9:30:00,Closed,Value 5,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 26,2011/3/31 7:28:00,2011/3/31 7:28:00,Assign seriousness,Value 2,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 26,2011/3/31 7:31:00,2011/3/31 7:31:00,Take in charge ticket,Value 2,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 26,2011/3/31 8:39:00,2011/3/31 8:39:00,Wait,Value 2,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 26,2011/3/31 11:00:00,2011/3/31 11:00:00,Take in charge ticket,Value 2,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 26,2011/3/31 11:00:00,2011/3/31 11:00:00,Resolve ticket,Value 2,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 26,2011/5/5 9:50:00,2011/5/5 9:50:00,Closed,Value 5,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 27,2011/11/24 14:02:00,2011/11/24 14:02:00,Assign seriousness,Value 1,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 27,2011/11/24 14:02:00,2011/11/24 14:02:00,Take in charge ticket,Value 1,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 27,2011/12/12 9:04:00,2011/12/12 9:04:00,Resolve ticket,Value 13,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 27,2011/12/27 9:05:00,2011/12/27 9:05:00,Closed,Value 5,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 28,2013/10/25 15:53:00,2013/10/25 15:53:00,Assign seriousness,Value 9,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 28,2013/10/25 15:54:00,2013/10/25 15:54:00,Take in charge ticket,Value 9,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 28,2013/10/25 15:54:00,2013/10/25 15:54:00,Create SW anomaly,Value 9,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 28,2013/10/25 15:54:00,2013/10/25 15:54:00,Require upgrade,Value 9,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 28,2013/11/14 15:55:00,2013/11/14 15:55:00,Require upgrade,Value 1,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 28,2013/12/23 8:08:00,2013/12/23 8:08:00,Resolve ticket,Value 1,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 29,2012/7/30 10:07:00,2012/7/30 10:07:00,Assign seriousness,Value 1,Value 1,Value 25,Value 5,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 29,2012/7/30 10:07:00,2012/7/30 10:07:00,Take in charge ticket,Value 1,Value 1,Value 25,Value 5,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 29,2012/7/30 12:29:00,2012/7/30 12:29:00,Resolve ticket,Value 1,Value 1,Value 25,Value 5,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 29,2012/9/14 10:10:00,2012/9/14 10:10:00,Closed,Value 5,Value 1,Value 25,Value 5,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 30,2011/1/21 9:47:00,2011/1/21 9:47:00,Assign seriousness,Value 2,Value 1,Value 26,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 30,2011/2/7 9:19:00,2011/2/7 9:19:00,Take in charge ticket,Value 2,Value 1,Value 26,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 30,2011/2/10 9:01:00,2011/2/10 9:01:00,Resolve ticket,Value 2,Value 1,Value 26,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 30,2011/2/25 9:01:00,2011/2/25 9:01:00,Closed,Value 5,Value 1,Value 26,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 31,2013/4/15 12:41:00,2013/4/15 12:41:00,Assign seriousness,Value 4,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 31,2013/4/18 7:06:00,2013/4/18 7:06:00,Take in charge ticket,Value 9,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 31,2013/4/18 7:18:00,2013/4/18 7:18:00,Create SW anomaly,Value 9,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 31,2013/4/18 7:18:00,2013/4/18 7:18:00,Require upgrade,Value 9,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 31,2013/5/15 13:30:00,2013/5/15 13:30:00,Resolve ticket,Value 9,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 31,2013/5/30 13:31:00,2013/5/30 13:31:00,Closed,Value 3,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 32,2011/4/27 7:38:00,2011/4/27 7:38:00,Assign seriousness,Value 8,Value 1,Value 28,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 32,2011/4/27 12:46:00,2011/4/27 12:46:00,Take in charge ticket,Value 8,Value 1,Value 28,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 32,2011/4/28 8:18:00,2011/4/28 8:18:00,Resolve ticket,Value 2,Value 1,Value 28,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 32,2011/6/4 7:40:00,2011/6/4 7:40:00,Closed,Value 5,Value 1,Value 28,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 33,2013/4/29 13:22:00,2013/4/29 13:22:00,Assign seriousness,Value 14,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 33,2013/5/14 14:53:00,2013/5/14 14:53:00,Take in charge ticket,Value 14,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 33,2013/5/15 10:19:00,2013/5/15 10:19:00,Resolve ticket,Value 14,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 33,2013/5/30 10:19:00,2013/5/30 10:19:00,Closed,Value 3,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 34,2013/6/11 13:56:00,2013/6/11 13:56:00,Assign seriousness,Value 14,Value 1,Value 29,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 34,2013/6/25 10:42:00,2013/6/25 10:42:00,Take in charge ticket,Value 14,Value 1,Value 29,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 34,2013/6/25 10:43:00,2013/6/25 10:43:00,Wait,Value 14,Value 1,Value 29,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 34,2013/6/26 13:27:00,2013/6/26 13:27:00,Wait,Value 9,Value 1,Value 29,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 34,2013/7/5 10:18:00,2013/7/5 10:18:00,Resolve ticket,Value 9,Value 1,Value 29,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 34,2013/7/20 10:18:00,2013/7/20 10:18:00,Closed,Value 3,Value 1,Value 29,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 35,2012/1/18 8:15:00,2012/1/18 8:15:00,Assign seriousness,Value 1,Value 1,Value 30,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 35,2012/1/18 9:46:00,2012/1/18 9:46:00,Resolve ticket,Value 1,Value 1,Value 30,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
